Top 150 Most Frequent Structural Pattern, Count
PERSON → WAS_HIRED_AS → JOB_ROLE, 1
PERSON → BECAME → JOB_ROLE, 1
ORGANISATION → MANUFACTURED → PRODUCT, 1
PRODUCT → IS_DESCRIBED_AS → DESCRIPTION, 1
PRODUCT → WAS_MOUNTED_ON → TECHNOLOGY, 1
ORGANISATION_UNIT → HAD_ATTRIBUTE → ATTRIBUTE, 1
GROUP → WERE_REQUIRED_TO_HAVE → REQUIREMENT, 1
TECHNOLOGY → WAS_CLASSIFIED_AS → CLASSIFICATION, 1
PERSON → WAS_INFLUENCED_BY → METHOD, 1
PERSON → UNDERTOOK_PROJECT → PROJECT, 1
PROJECT → LACKED → TECHNOLOGY, 1
PERSON → LEARNED_SKILL → SKILL, 1
EVENT → OCCURRED_IN → TIME, 1
ORGANISATION → CAMPAIGNED_AGAINST → GROUP, 1
ORGANISATION → OFFERED → ACADEMIC_COURSE, 1
PERSON → WAS_TAUGHT_BY → PERSON, 1
PERSON → MANAGED → FACILITY, 1
PERSON → ATTENDED → ACADEMIC_COURSE, 1
ACADEMIC_COURSE → WAS_HOSTED_BY → ORGANISATION, 1
ACADEMIC_COURSE → WAS_IMPORTANT_FOR → CAREER, 1
CONCEPT → IS_A → CONCEPT, 1
PERSON → WAS_LEARNING_SKILL → SKILL, 1
PERSON → ASSISTED → PERSON, 1
CONCEPT → WAS_MORE_IMPORTANT_THAN → SKILL, 1
BOOK → IS_AUTHORED_BY → PERSON, 1
BOOK → HAS_PUBLICATION_YEAR → TIME, 1
PERSON → IS_MEMBER_OF → ORGANISATION, 1
BOOK_EDITION → WAS_TRANSLATED_BY → PERSON, 1
PERSON → WAS_COMMISSIONED_TO_WRITE_WITH → METHODOLOGY, 1
BOOK → HAS_SUBJECT_MATTER → FICTIONAL_CHARACTER, 1
PERSON → COMPUTERISED → NARRATIVE, 1
PERSON → SHOWS_TO → GROUP, 1
DIGITAL_ARTIFACT → DEMONSTRATES → CONCEPT, 1
DIGITAL_ARTIFACT → IS_DESCRIBED_AS → DESCRIPTION, 1
DIGITAL_ARTIFACT → HAS_ATTRIBUTE → ATTRIBUTE, 1
DIGITAL_ARTIFACT → USES_METHOD → METHODOLOGY, 1
ACTIVITY → IS_SIMILAR_TO → ACTIVITY, 1
ACTIVITY → HAS_GOAL → GOAL, 1
LITERARY_WORK → IS_INFLUENCED_BY → SOFTWARE, 1
PERSON → WROTE_PROGRAMME_FOR → ORGANISATION, 1
PERSON → USED_IN_WORK → TOOL, 1
TOOL → HAS_FUNCTION → FUNCTIONALITY, 1
